"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	"We finished the quarter with $11.8 billion of liquidity, down $800 million from the prior quarter, primarily driven by debt maturities, partially offset by operations and disposition proceeds."
	Getting to $5 billion was something that we roughly got close to it around 2016 and then we've been fighting.
	"And for us, as Kevin highlighted in his comments, digital orders represent 10% of the business that we saw in the quarter, 7% of that coming through delivery which is an entirely new channel for us and then 3% coming through Mobile Order & Pay."
	Could you possibly help us to size each of those in terms of its magnitude on the change?
	"In aggregate, issues relating to our revenue products reduced the year-over-year growth by three or more points in Q3."
	"And finally, we have continued to pursue new opportunities to expand digital customer relationships, investing to meet customers' increasing desire for convenience and personalized offers."
	Is that related to the rationalization process?
	"Reflecting on three quarters of results, many of the trends highlighted in the second quarter still hold."
	We're continuing that expansion with Mastrena and should finish that work in the next 12 months or so.
	"It also means that we continue to invest in this Trailblazer community, where we want millions of people who evangelize and architect solutions that drive success for our customers."
